Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
ACS Materials Letters,12.5,"92.0%
20/274
General Chemical Engineering",16786.0,1344.0,81.0,1.429,2.655,American Chemical Society
Solar Energy Materials and Solar Cells,12.4,"90.0%
30/305
Electronic, Optical and Magnetic Materials",23805.0,1927.0,87.0,1.467,1.284,Elsevier
Ain Shams Engineering Journal,12.2,"94.0%
18/344
General Engineering",21670.0,1774.0,84.0,2.209,1.076,Ain Shams University
International Journal of Energy Research,12.1,"94.0%
5/80
Nuclear Energy and Engineering",42810.0,3533.0,92.0,1.018,0.873,John Wiley & Sons
Nanophotonics,12.1,"93.0%
67/970
Electrical and Electronic Engineering",17544.0,1452.0,91.0,1.686,1.765,Walter de Gruyter
Applied Materials Today,12.1,"88.0%
55/460
General Materials Science",18725.0,1543.0,83.0,1.206,1.421,Elsevier
Cell Reports Physical Science,12.0,"94.0%
20/344
General Engineering",19705.0,1642.0,83.0,1.266,2.098,Elsevier
Chemistry of Materials,12.0,"90.0%
27/274
General Chemical Engineering",45666.0,3815.0,86.0,1.313,2.065,American Chemical Society
Journal of Alloys and Compounds,11.8,"94.0%
38/720
Mechanical Engineering",224820.0,19043.0,88.0,1.253,1.192,Elsevier
ACS Photonics,11.7,"92.0%
74/970
Electrical and Electronic Engineering",21563.0,1836.0,83.0,1.705,1.992,American Chemical Society
Energy Reports,11.7,"81.0%
15/78
General Energy",77403.0,6591.0,90.0,1.393,1.172,Elsevier
Journal of Industrial and Engineering Chemistry,11.6,"89.0%
30/274
General Chemical Engineering",26162.0,2259.0,91.0,1.132,1.121,Korean Society of Industrial Engineering Chemistry
Journal of Building Engineering,11.5,"99.0%
2/203
Architecture",110264.0,9556.0,85.0,1.974,1.636,Elsevier
Science China Materials,11.3,"85.0%
65/460
General Materials Science",17385.0,1537.0,86.0,0.966,1.663,Science China Press
Advanced Materials Technologies,11.0,"91.0%
36/403
Mechanics of Materials",26662.0,2413.0,88.0,1.153,1.549,John Wiley & Sons
Solar RRL,10.9,"90.0%
91/970
Electrical and Electronic Engineering",20361.0,1865.0,87.0,0.8,1.544,John Wiley & Sons
Materials Today Chemistry,10.7,"88.0%
20/167
Polymers and Plastics",21552.0,2012.0,83.0,1.057,1.28,Elsevier
